Date;Vacance A;Vacances B;Vacances C;Férié;Vacance A Bool;Vacances B Bool;Vacances C Bool;Vacances;Férié Bool
13/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
14/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
15/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
16/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
17/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
18/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
19/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
20/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
21/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
22/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
23/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
24/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
25/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
26/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
27/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
28/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
29/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
30/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
01/07/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
02/07/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
03/07/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
